min,max,mean,count,median,majority,unique
0.17451154529307283,0.25017355085039916,0.20180193054501344,76,0.20210251882764108,0.19828419059396374,63
0.12483886288079246,0.33684074345594894,0.18544479903335634,82,0.17626485310135975,0.15605637638728126,67
0.2616693492756956,0.4014760147601476,0.35375240891622195,75,0.35876280441627806,0.33386909545495136,62
0.15161279715910958,0.5116147685354425,0.25828110734122317,464,0.24849346677231318,0.2771103700429909,381
0.17330368376393482,0.36112819611633423,0.235924311169129,104,0.23148371428376263,0.2460638097036058,85
0.17573509205825777,0.3705856450902686,0.2506649608165761,419,0.2437699803566614,0.3351266116315741,334
0.03310554290053151,0.39909735654416506,0.2373535547649872,526,0.23032847086142255,0.2116547075451185,426
-0.049860505043279206,0.4399855256015922,0.24192504989158123,4325,0.239739285008888,0.1739923187337549,3499
0.1654729380491767,0.27416915341536197,0.2025089549160973,92,0.19945575928619244,0.16595422735010404,78
0.14354504743102037,0.41340530814215026,0.32373373515704534,290,0.3232456107999806,0.3447430765460338,237
0.16527474103014445,0.387648194099807,0.2229438439302678,146,0.22020092480308487,0.17239866963926756,116
0.12980513257374082,0.3412828947368421,0.2090916129243128,397,0.20467788264259335,0.14252261841405003,329
0.19985853227232536,0.3649376521803291,0.2862792929326547,125,0.29340677408747123,0.3057417913013581,103
0.20782237588460914,0.3823317968452658,0.28378289176062804,132,0.2817339359821276,0.2867874877976317,108
0.23736092133515518,0.3450046496583512,0.2693505426054599,95,0.2679682837411544,0.2507734689552871,80
0.22150949683438853,0.3608965981545285,0.3223194753237212,112,0.3315695380408673,0.3215199842488679,94
0.23644368917040012,0.3897210743801653,0.31009993434383165,103,0.30789310130515846,0.297203519352307,87
0.00976726014399732,0.38979082110521385,0.28203075242377873,1228,0.28454903933735876,0.3143064165526125,992
0.15798356325212798,0.3461654915870064,0.1971295564936953,131,0.17777519289674693,0.18260328328016806,112
0.14332321699544764,0.42293405759475977,0.24175799149671467,410,0.23948036226974828,0.23437894205701792,333
0.029760264535684762,0.20428755748172164,0.08230544867023114,114,0.0846370322366786,0.07893129770992366,96
0.19501380406592486,0.3064651553316541,0.25208133609113614,77,0.2569311246730602,0.20674176336071823,64
-0.052257657088727504,0.4131493822830196,0.2489843517564048,1661,0.24783035860487965,0.22498335921899268,1330
0.11423278789749923,0.4015136813506695,0.24388815009729925,1849,0.2508533777883623,0.19189536134337162,1493
-0.16213560432361612,0.4040447504302926,0.16287564711790087,191,0.25645086166744296,-0.1559596758252619,156
0.2605319841707158,0.4143035343035343,0.3522332997849359,226,0.3516662658100561,0.33498420288617536,183
0.16875494592455817,0.362826046162507,0.25979831391920005,194,0.2554835624048816,0.25296495358237464,159
0.1278477790505282,0.32420605692994237,0.26229679045818793,77,0.2748639661426844,0.3039954615446957,62
0.16561017983753581,0.45511474283095954,0.3286933976152272,385,0.3259106760220159,0.23977344241661422,312
0.13093057811258163,0.3947929660778238,0.2774891785941319,764,0.28398285283486785,0.23316452517473737,615
0.12917910222784962,0.31694596443228457,0.21671780809381333,611,0.2123558623011531,0.16717036232130122,506
0.11874378163256478,0.3718019801980198,0.26865195489117893,227,0.2676190065167666,0.2543911752227408,190
0.023747357951013303,0.3285559536705275,0.2212758905850993,885,0.2249334853667807,0.16739245451955556,719
0.19933180811272105,0.34512875922924546,0.2726629960352772,147,0.27355040919380114,0.3201633083102858,122
0.14115586690017512,0.29735672290999476,0.23163987336897832,146,0.23263824896984198,0.18423290807981682,119
0.188470066518847,0.34227839335180055,0.26544497186967264,76,0.263950964116971,0.28052861923968075,64
0.18087429600398452,0.347800136425648,0.24043943343988583,76,0.23004894658437966,0.23019772318753745,62
0.2236133242279384,0.4125618323149187,0.2588643961554164,101,0.25059509152097187,0.2694709453599306,84
0.11554017429012217,0.45768452052273145,0.3097654897370181,409,0.28858839050131924,0.22504604051565377,340
0.20109471680152308,0.4108025075767011,0.3151851191483027,1746,0.3157574704656011,0.3085537496187198,1425
0.2454699017199017,0.39363539182633006,0.29630881192860414,150,0.2917028173583347,0.26393575669557046,128
0.12800395582660293,0.363627889634601,0.25196895380010575,185,0.2652697625779465,0.26914838614373293,151
0.1591163686875476,0.3958191774251569,0.30651327925742233,242,0.3115512622777823,0.300513666529189,204
0.14688840394311084,0.3097657595590768,0.20175534524196234,188,0.18325104214709798,0.17134350576851506,156
0.15984124120512358,0.4038101050612494,0.2426014174827673,855,0.23300801673056815,0.2191372285462259,711
0.16021320646667547,0.3511149599480407,0.23783628787330288,198,0.23362974939369444,0.20300164830398196,167
0.25625029316572073,0.3876561980329738,0.3535333262822784,227,0.3641502203487258,0.29151512131931645,185
0.1522947693056852,0.3743889765597937,0.21383274197232305,846,0.2063389677583048,0.19446690785273463,676
0.12992815311235886,0.3706025635906241,0.20662594795719472,674,0.20615384615384616,0.1858294758847245,540
0.1443596268023749,0.3270137921739521,0.20119234078548368,209,0.19377058999700508,0.2031243181917354,170
0.18917564520170382,0.37971678114135504,0.2689046600182396,361,0.26277786792146685,0.21426351081309117,293
0.16820732915153516,0.36260259917920656,0.2731653353784736,166,0.27080427125239726,0.23540206873540206,139
0.11345254229878023,0.2951941091891421,0.17670891534370334,885,0.16839887640449439,0.1746499631540162,713
0.20739296693409312,0.3730262086928211,0.263252997697835,261,0.25459001988623225,0.24328612797016938,210
0.15110773790162277,0.40555414444162224,0.22357531349320872,579,0.20553345518403038,0.19285820784255256,467
0.1933995123650296,0.3997610513739546,0.273016449309302,288,0.27504601226993863,0.28962762738532294,238
0.14323701471370323,0.3351132388142147,0.22701705551327678,102,0.23404996932649685,0.14710728239890788,86
0.23893945389790266,0.4027810511430592,0.28066195993365095,141,0.2667665168913297,0.2428079173010658,117
0.16474139665928758,0.41897054594750033,0.27505421621728926,980,0.2929376175522128,0.27857316185391895,787
0.12542931721390302,0.29986185460196857,0.18951629126904218,102,0.18580736167128692,0.13745200262229576,86
0.19933778260644627,0.4197057442479261,0.34023532688949604,172,0.32098846170067263,0.2898052691867125,145
